Path: /HepData/8678/d188-x1-y1
Signal acceptance times reconstruction efficiency in PCT for SR6jm
Location: Auxiliary Figure 43b
RE : P P --> GLUINO < QUARK QUARK NEUTRALINO > GLUINO < QUARK QUARK NEUTRALINO >
SQRT(S) : 8000.0 GeV
x : GLUINO MASS IN GEV
x2: GLUINO MASS IN GEV
y : Signal acceptance times reconstruction efficiency in PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	1062.0	1062.0	1062.0		237.0	237.0	237.0	0.0602
	1100.0	1100.0	1100.0		200.0	200.0	200.0	0.07683
	1137.0	1137.0	1137.0		162.0	162.0	162.0	0.08514
	1175.0	1175.0	1175.0		125.0	125.0	125.0	0.08447
	1212.0	1212.0	1212.0		87.0	87.0	87.0	0.08405
	1250.0	1250.0	1250.0		50.0	50.0	50.0	0.08126
	1287.0	1287.0	1287.0		12.0	12.0	12.0	0.09713
	687.0	687.0	687.0		662.0	662.0	662.0	0.0
	700.0	700.0	700.0		650.0	650.0	650.0	2.913E-4
	712.0	712.0	712.0		637.0	637.0	637.0	5.213E-4
	750.0	750.0	750.0		600.0	600.0	600.0	0.001264
	787.0	787.0	787.0		562.0	562.0	562.0	0.00417
	825.0	825.0	825.0		525.0	525.0	525.0	0.01039
	862.0	862.0	862.0		487.0	487.0	487.0	0.01427
	900.0	900.0	900.0		450.0	450.0	450.0	0.02469
	937.0	937.0	937.0		412.0	412.0	412.0	0.03498
	975.0	975.0	975.0		375.0	375.0	375.0	0.04512
	1012.0	1012.0	1012.0		337.0	337.0	337.0	0.05972
	1050.0	1050.0	1050.0		300.0	300.0	300.0	0.06203
	1087.0	1087.0	1087.0		262.0	262.0	262.0	0.07036
	1125.0	1125.0	1125.0		225.0	225.0	225.0	0.07055
	1162.0	1162.0	1162.0		187.0	187.0	187.0	0.07994
	1200.0	1200.0	1200.0		150.0	150.0	150.0	0.08854
	1237.0	1237.0	1237.0		112.0	112.0	112.0	0.08556
	1275.0	1275.0	1275.0		75.0	75.0	75.0	0.08877
	1312.0	1312.0	1312.0		37.0	37.0	37.0	0.09039
	1350.0	1350.0	1350.0		0.0	0.0	0.0	0.08936
	712.0	712.0	712.0		687.0	687.0	687.0	4.41E-4
	725.0	725.0	725.0		675.0	675.0	675.0	9.719E-5
	737.0	737.0	737.0		662.0	662.0	662.0	3.895E-4
	775.0	775.0	775.0		625.0	625.0	625.0	0.001449
	812.0	812.0	812.0		587.0	587.0	587.0	0.005989
	850.0	850.0	850.0		550.0	550.0	550.0	0.009377
	887.0	887.0	887.0		512.0	512.0	512.0	0.01536
	925.0	925.0	925.0		475.0	475.0	475.0	0.02181
	962.0	962.0	962.0		437.0	437.0	437.0	0.03474
	1000.0	1000.0	1000.0		400.0	400.0	400.0	0.04005
	1037.0	1037.0	1037.0		362.0	362.0	362.0	0.05638
	1075.0	1075.0	1075.0		325.0	325.0	325.0	0.06119
	1112.0	1112.0	1112.0		287.0	287.0	287.0	0.06809
	1150.0	1150.0	1150.0		250.0	250.0	250.0	0.07117
	1187.0	1187.0	1187.0		212.0	212.0	212.0	0.08837
	1225.0	1225.0	1225.0		175.0	175.0	175.0	0.08278
	1262.0	1262.0	1262.0		137.0	137.0	137.0	0.09209
	1300.0	1300.0	1300.0		100.0	100.0	100.0	0.09212
	1337.0	1337.0	1337.0		62.0	62.0	62.0	0.09286
	1375.0	1375.0	1375.0		25.0	25.0	25.0	0.09637
	737.0	737.0	737.0		712.0	712.0	712.0	3.653E-5
	750.0	750.0	750.0		700.0	700.0	700.0	3.769E-4
	762.0	762.0	762.0		687.0	687.0	687.0	4.861E-4
	800.0	800.0	800.0		650.0	650.0	650.0	0.001404
	837.0	837.0	837.0		612.0	612.0	612.0	0.003177
	875.0	875.0	875.0		575.0	575.0	575.0	0.008102
	912.0	912.0	912.0		537.0	537.0	537.0	0.01612
	950.0	950.0	950.0		500.0	500.0	500.0	0.02182
	987.0	987.0	987.0		462.0	462.0	462.0	0.036
	1025.0	1025.0	1025.0		425.0	425.0	425.0	0.05277
	1062.0	1062.0	1062.0		387.0	387.0	387.0	0.06276
	1100.0	1100.0	1100.0		350.0	350.0	350.0	0.06358
	1137.0	1137.0	1137.0		312.0	312.0	312.0	0.07313
	1175.0	1175.0	1175.0		275.0	275.0	275.0	0.07482
	1212.0	1212.0	1212.0		237.0	237.0	237.0	0.0845
	1250.0	1250.0	1250.0		200.0	200.0	200.0	0.09315
	1287.0	1287.0	1287.0		162.0	162.0	162.0	0.09855
	1325.0	1325.0	1325.0		125.0	125.0	125.0	0.09284
	1362.0	1362.0	1362.0		87.0	87.0	87.0	0.09266
	1400.0	1400.0	1400.0		50.0	50.0	50.0	0.09937
	1437.0	1437.0	1437.0		12.0	12.0	12.0	0.09612
	762.0	762.0	762.0		737.0	737.0	737.0	1.608E-4
	775.0	775.0	775.0		725.0	725.0	725.0	1.555E-4
	787.0	787.0	787.0		712.0	712.0	712.0	4.146E-4
	825.0	825.0	825.0		675.0	675.0	675.0	0.002369
	862.0	862.0	862.0		637.0	637.0	637.0	0.003184
	900.0	900.0	900.0		600.0	600.0	600.0	0.008059
	937.0	937.0	937.0		562.0	562.0	562.0	0.01939
	975.0	975.0	975.0		525.0	525.0	525.0	0.02248
	1012.0	1012.0	1012.0		487.0	487.0	487.0	0.03403
	1050.0	1050.0	1050.0		450.0	450.0	450.0	0.04467
	1087.0	1087.0	1087.0		412.0	412.0	412.0	0.05414
