#: table_doi: 10.17182/hepdata.95354.v2/t30
#: name: chargino+neutralino acceptances (wino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.016678,900.0,1.0586e-13,5.0101e-14,-5.0101e-14
0.020014,900.0,6.0216e-12,2.7783e-12,-2.7783e-12
0.023349,900.0,1.062e-10,4.8017e-11,-4.8017e-11
0.026685,900.0,9.0337e-10,4.0116e-10,-4.0116e-10
0.030021,900.0,4.7363e-09,2.0672e-09,-2.0672e-09
0.033356,900.0,1.7727e-08,7.6028e-09,-7.6028e-09
0.066713,900.0,6.5343e-06,2.2386e-06,-2.2386e-06
0.10007,900.0,5.082e-05,1.348e-05,-1.348e-05
0.13343,900.0,0.00015286,3.3007e-05,-3.3007e-05
0.16678,900.0,0.00030941,5.7753e-05,-5.7753e-05
0.20014,900.0,0.00050764,8.5939e-05,-8.5939e-05
0.23349,900.0,0.00073386,0.00011667,-0.00011667
0.26685,900.0,0.00097707,0.00014958,-0.00014958
0.30021,900.0,0.0012294,0.00018483,-0.00018483
0.33356,900.0,0.0014856,0.0002232,-0.0002232
0.66713,900.0,0.0034727,0.00045767,-0.00045767
1.0007,900.0,0.0039205,0.0004703,-0.0004703
1.3343,900.0,0.0039468,0.00045393,-0.00045393
1.6678,900.0,0.0038203,0.00042979,-0.00042979
2.0014,900.0,0.0036422,0.00040471,-0.00040471
2.3349,900.0,0.0034526,0.00038093,-0.00038093
2.6685,900.0,0.0032675,0.00035911,-0.00035911
3.0021,900.0,0.0030934,0.00033934,-0.00033934
3.3356,900.0,0.0029321,0.0003215,-0.0003215
6.6713,900.0,0.0020066,0.00052992,-0.00052992
10.007,900.0,0.0014529,0.00038324,-0.00038324
13.343,900.0,0.0011363,0.00029969,-0.00029969
16.678,900.0,0.0009324,0.00024592,-0.00024592
20.014,900.0,0.00079031,0.00020847,-0.00020847
23.349,900.0,0.00068571,0.0001809,-0.0001809
26.685,900.0,0.00060551,0.00015976,-0.00015976
30.021,900.0,0.00054209,0.00014304,-0.00014304
33.356,900.0,0.00049068,0.00012948,-0.00012948
66.713,900.0,0.00020915,8.9649e-05,-8.9649e-05
100.07,900.0,0.00014117,6.0551e-05,-6.0551e-05
133.43,900.0,0.00010653,4.5712e-05,-4.5712e-05
166.78,900.0,8.5543e-05,3.6715e-05,-3.6715e-05
200.14,900.0,7.1463e-05,3.0677e-05,-3.0677e-05
233.49,900.0,6.1363e-05,2.6344e-05,-2.6344e-05
