#: table_doi: 10.17182/hepdata.95354.v2/t34
#: name: chargino+neutralino acceptances (wino LSP, 2018B)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events, in the case of a purely wino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^0_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018B data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+neutralino_acceptances_(wino_lsp,_2018b).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
33.356,400.0,0.00027239,0.00010011,-0.00010011
66.713,400.0,4.8154e-05,3.8832e-05,-3.8832e-05
100.07,400.0,3.2192e-05,2.5958e-05,-2.5958e-05
133.43,400.0,2.4178e-05,1.9495e-05,-1.9495e-05
166.78,400.0,1.9358e-05,1.5609e-05,-1.5609e-05
200.14,400.0,1.6141e-05,1.3014e-05,-1.3014e-05
233.49,400.0,1.3841e-05,1.116e-05,-1.116e-05
266.85,400.0,1.2114e-05,9.7675e-06,-9.7675e-06
300.21,400.0,1.0771e-05,8.6841e-06,-8.6841e-06
333.56,400.0,9.6954e-06,7.8171e-06,-7.8171e-06
0.0066713,500.0,2.2748e-23,2.0471e-23,-2.0471e-23
0.010007,500.0,1.0779e-16,8.7102e-17,-8.7102e-17
0.013343,500.0,2.308e-13,1.6711e-13,-1.6711e-13
0.016678,500.0,2.2916e-11,1.5004e-11,-1.5004e-11
0.020014,500.0,4.9042e-10,2.9448e-10,-2.9448e-10
0.023349,500.0,4.3669e-09,2.4374e-09,-2.4374e-09
0.026685,500.0,2.2486e-08,1.1793e-08,-1.1793e-08
0.030021,500.0,8.0417e-08,3.9946e-08,-3.9946e-08
0.033356,500.0,2.2297e-07,1.055e-07,-1.055e-07
0.066713,500.0,2.3348e-05,7.5759e-06,-7.5759e-06
0.10007,500.0,0.00012197,2.9718e-05,-2.9718e-05
0.13343,500.0,0.00029417,5.8786e-05,-5.8786e-05
0.16678,500.0,0.00050896,8.9685e-05,-8.9685e-05
0.20014,500.0,0.00073661,0.00012042,-0.00012042
0.23349,500.0,0.00095687,0.00014998,-0.00014998
0.26685,500.0,0.0011584,0.00017766,-0.00017766
0.30021,500.0,0.0013364,0.000203,-0.000203
0.33356,500.0,0.0014896,0.00022572,-0.00022572
0.66713,500.0,0.0027941,0.0004489,-0.0004489
1.0007,500.0,0.0029252,0.00043598,-0.00043598
1.3343,500.0,0.0028098,0.00040402,-0.00040402
1.6678,500.0,0.0026305,0.00037102,-0.00037102
2.0014,500.0,0.0024446,0.00034095,-0.00034095
2.3349,500.0,0.0022702,0.00031446,-0.00031446
2.6685,500.0,0.0021124,0.00029131,-0.00029131
3.0021,500.0,0.0019713,0.00027108,-0.00027108
3.3356,500.0,0.0018456,0.00025333,-0.00025333
6.6713,500.0,0.0018185,0.00051253,-0.00051253
10.007,500.0,0.0013067,0.00036611,-0.00036611
13.343,500.0,0.0010194,0.00028508,-0.00028508
16.678,500.0,0.00083568,0.00023354,-0.00023354
20.014,500.0,0.00070804,0.00019785,-0.00019785
23.349,500.0,0.00061423,0.00017164,-0.00017164
26.685,500.0,0.00054236,0.00015158,-0.00015158
30.021,500.0,0.00048555,0.00013573,-0.00013573
33.356,500.0,0.00043952,0.00012288,-0.00012288
66.713,500.0,9.3892e-05,6.7105e-05,-6.7105e-05
100.07,500.0,6.2913e-05,4.4946e-05,-4.4946e-05
133.43,500.0,4.7304e-05,3.3789e-05,-3.3789e-05
166.78,500.0,3.7901e-05,2.7069e-05,-2.7069e-05
200.14,500.0,3.1616e-05,2.2579e-05,-2.2579e-05
233.49,500.0,2.712e-05,1.9366e-05,-1.9366e-05
266.85,500.0,2.3743e-05,1.6954e-05,-1.6954e-05
300.21,500.0,2.1113e-05,1.5076e-05,-1.5076e-05
333.56,500.0,1.9008e-05,1.3573e-05,-1.3573e-05
0.0066713,600.0,2.2992e-26,1.7544e-26,-1.7544e-26
0.010007,600.0,9.1611e-19,6.8837e-19,-6.8837e-19
0.013343,600.0,5.3517e-15,3.9652e-15,-3.9652e-15
0.016678,600.0,9.4512e-13,6.8054e-13,-6.8054e-13
0.020014,600.0,2.9809e-11,2.035e-11,-2.035e-11
0.023349,600.0,3.5787e-10,2.2583e-10,-2.2583e-10
0.026685,600.0,2.3705e-09,1.3584e-09,-1.3584e-09
0.030021,600.0,1.0584e-08,5.4699e-09,-5.4699e-09
0.033356,600.0,3.5791e-08,1.6735e-08,-1.6735e-08
0.066713,600.0,1.1447e-05,3.3316e-06,-3.3316e-06
0.10007,600.0,8.4718e-05,2.1162e-05,-2.1162e-05
0.13343,600.0,0.00023013,5.1863e-05,-5.1863e-05
0.16678,600.0,0.00041697,8.6893e-05,-8.6893e-05
0.20014,600.0,0.00061715,0.00012106,-0.00012106
0.23349,600.0,0.00081385,0.00015252,-0.00015252
0.26685,600.0,0.00099842,0.00018112,-0.00018112
0.30021,600.0,0.0011669,0.00020728,-0.00020728
0.33356,600.0,0.001318,0.00023148,-0.00023148
0.66713,600.0,0.0030971,0.00046754,-0.00046754
1.0007,600.0,0.0033662,0.00046915,-0.00046915
1.3343,600.0,0.0032964,0.00044259,-0.00044259
1.6678,600.0,0.0031245,0.00041101,-0.00041101
2.0014,600.0,0.0029299,0.00038068,-0.00038068
2.3349,600.0,0.0027403,0.00035323,-0.00035323
2.6685,600.0,0.0025646,0.00032889,-0.00032889
3.0021,600.0,0.0024051,0.00030741,-0.00030741
3.3356,600.0,0.0022614,0.00028844,-0.00028844
6.6713,600.0,0.0023015,0.0005931,-0.0005931
10.007,600.0,0.0016754,0.00042805,-0.00042805
13.343,600.0,0.0013144,0.00033466,-0.00033466
16.678,600.0,0.0010806,0.00027466,-0.00027466
20.014,600.0,0.00091723,0.00023288,-0.00023288
23.349,600.0,0.00079664,0.00020212,-0.00020212
26.685,600.0,0.00070401,0.00017854,-0.00017854
30.021,600.0,0.00063066,0.00015988,-0.00015988
33.356,600.0,0.00057113,0.00014475,-0.00014475
66.713,600.0,0.00021321,9.3512e-05,-9.3512e-05
100.07,600.0,0.00014318,6.2799e-05,-6.2799e-05
133.43,600.0,0.00010778,4.7272e-05,-4.7272e-05
166.78,600.0,8.6412e-05,3.7901e-05,-3.7901e-05
200.14,600.0,7.2116e-05,3.163e-05,-3.163e-05
233.49,600.0,6.1878e-05,2.714e-05,-2.714e-05
266.85,600.0,5.4186e-05,2.3766e-05,-2.3766e-05
300.21,600.0,4.8195e-05,2.1139e-05,-2.1139e-05
333.56,600.0,4.3396e-05,1.9034e-05,-1.9034e-05
0.0066713,700.0,3.1973e-23,3.1973e-23,-3.1973e-23
0.010007,700.0,1.0838e-16,1.0836e-16,-1.0836e-16
0.013343,700.0,1.8354e-13,1.8325e-13,-1.8325e-13
