#: table_doi: 10.17182/hepdata.95354.v2/t31
#: name: chargino+chargino acceptances (higgsino LSP, 2018A)
#: description: Signal acceptance times efficiency ($A\times\epsilon$) for each of the generated chargino masses and lifetimes for $\mathrm{p}\mathrm{p} \rightarrow \widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events, in the case of a purely higgsino neutralino LSP.  The denominator for the acceptance is the total number of $\widetilde{\chi}^\pm_{1} \widetilde{\chi}^\mp_{1}$ events generated, while the numerator is the number of those events that are selected by the signal selection after being processed with the same reconstruction software used on the data. These $A\times\epsilon$ values correspond to the conditions simulated for the 2018A data-taking period. The uncertainties are only the statistical uncertainties resulting from the sizes of the generated samples.
#: data_file: chargino+chargino_acceptances_(higgsino_lsp,_2018a).yaml
Chargino lifetime [ns],Chargino mass [GeV],$A\times\epsilon$ ($n_{\text{lay}} = 4$),1 s.d. +,1 s.d. -
0.066713,600.0,4.6667e-05,1.5155e-05,-1.5155e-05
0.10007,600.0,0.00023097,5.2081e-05,-5.2081e-05
0.13343,600.0,0.00054608,9.3195e-05,-9.3195e-05
0.16678,600.0,0.00094555,0.00013313,-0.00013313
0.20014,600.0,0.0013848,0.00017226,-0.00017226
0.23349,600.0,0.0018311,0.0002112,-0.0002112
0.26685,600.0,0.0022626,0.00025023,-0.00025023
0.30021,600.0,0.0026657,0.00028938,-0.00028938
0.33356,600.0,0.0085893,0.0085893,-0.0085893
0.66713,600.0,0.0071718,0.00086223,-0.00086223
1.0007,600.0,0.0081902,0.00080872,-0.00080872
1.3343,600.0,0.0083073,0.00074195,-0.00074195
1.6678,600.0,0.0080493,0.00067914,-0.00067914
2.0014,600.0,0.0076505,0.00062322,-0.00062322
2.3349,600.0,0.0072145,0.00057452,-0.00057452
2.6685,600.0,0.0067857,0.00053259,-0.00053259
3.0021,600.0,0.0063818,0.00049673,-0.00049673
3.3356,600.0,0.017019,0.017019,-0.017019
6.6713,600.0,0.0027432,0.00073838,-0.00073838
10.007,600.0,0.0020676,0.00051071,-0.00051071
13.343,600.0,0.0016501,0.0003895,-0.0003895
16.678,600.0,0.0013625,0.00031463,-0.00031463
20.014,600.0,0.0011525,0.00026313,-0.00026313
23.349,600.0,0.00099326,0.00022529,-0.00022529
26.685,600.0,0.00086896,0.00019631,-0.00019631
30.021,600.0,0.0007697,0.00017346,-0.00017346
33.356,600.0,0.0019513,0.0019513,-0.0019513
66.713,600.0,0.00053225,0.00016209,-0.00016209
100.07,600.0,0.00034734,9.9241e-05,-9.9241e-05
133.43,600.0,0.00025439,7.0291e-05,-7.0291e-05
166.78,600.0,0.00019912,5.387e-05,-5.387e-05
200.14,600.0,0.0001626,4.3468e-05,-4.3468e-05
233.49,600.0,0.0001367,3.6357e-05,-3.6357e-05
266.85,600.0,0.00011738,3.1205e-05,-3.1205e-05
300.21,600.0,0.00010244,2.73e-05,-2.73e-05
333.56,600.0,0.00025653,0.00025653,-0.00025653
0.0066713,700.0,1.2913e-22,9.5878e-23,-9.5878e-23
0.010007,700.0,3.909e-16,2.5073e-16,-2.5073e-16
0.013343,700.0,6.752e-13,3.8509e-13,-3.8509e-13
0.016678,700.0,6.0242e-11,3.0543e-11,-3.0543e-11
0.020014,700.0,1.2345e-09,5.5649e-10,-5.5649e-10
0.023349,700.0,1.0906e-08,4.4204e-09,-4.4204e-09
0.026685,700.0,5.6662e-08,2.1043e-08,-2.1043e-08
0.030021,700.0,2.057e-07,7.1372e-08,-7.1372e-08
0.033356,700.0,5.7924e-07,1.9074e-07,-1.9074e-07
0.066713,700.0,6.2876e-05,1.5263e-05,-1.5263e-05
0.10007,700.0,0.00032197,5.8145e-05,-5.8145e-05
0.13343,700.0,0.0007703,0.00010963,-0.00010963
0.16678,700.0,0.0013293,0.00016068,-0.00016068
0.20014,700.0,0.0019262,0.00020891,-0.00020891
0.23349,700.0,0.0025158,0.00025378,-0.00025378
0.26685,700.0,0.0030739,0.00029586,-0.00029586
0.30021,700.0,0.0035886,0.00033636,-0.00033636
0.33356,700.0,0.011483,0.011483,-0.011483
0.66713,700.0,0.0081517,0.0010385,-0.0010385
1.0007,700.0,0.0086946,0.00091682,-0.00091682
1.3343,700.0,0.0084339,0.00079558,-0.00079558
1.6678,700.0,0.0079573,0.00070019,-0.00070019
2.0014,700.0,0.0074385,0.00062651,-0.00062651
2.3349,700.0,0.006936,0.00056845,-0.00056845
2.6685,700.0,0.0064715,0.00052148,-0.00052148
3.0021,700.0,0.0060523,0.00048275,-0.00048275
3.3356,700.0,0.016089,0.016089,-0.016089
6.6713,700.0,0.0023432,0.00082898,-0.00082898
10.007,700.0,0.0017135,0.0004942,-0.0004942
13.343,700.0,0.0013813,0.00035976,-0.00035976
16.678,700.0,0.001165,0.00028719,-0.00028719
20.014,700.0,0.0010104,0.00024081,-0.00024081
23.349,700.0,0.00089323,0.0002085,-0.0002085
26.685,700.0,0.00080056,0.00018486,-0.00018486
30.021,700.0,0.00072485,0.00016691,-0.00016691
33.356,700.0,0.0018736,0.0018736,-0.0018736
66.713,700.0,0.00044795,0.00018745,-0.00018745
100.07,700.0,0.00030569,0.00011296,-0.00011296
133.43,700.0,0.00022928,7.8559e-05,-7.8559e-05
166.78,700.0,0.00018246,5.8789e-05,-5.8789e-05
200.14,700.0,0.00015111,4.6228e-05,-4.6228e-05
233.49,700.0,0.00012869,3.7741e-05,-3.7741e-05
266.85,700.0,0.00011182,3.1745e-05,-3.1745e-05
300.21,700.0,9.8634e-05,2.7354e-05,-2.7354e-05
333.56,700.0,0.0002493,0.0002493,-0.0002493
0.0066713,800.0,2.6024e-25,2.6021e-25,-2.6021e-25
0.010007,800.0,3.4462e-18,3.4164e-18,-3.4164e-18
0.013343,800.0,1.2199e-14,1.1388e-14,-1.1388e-14
0.016678,800.0,1.7665e-12,1.4264e-12,-1.4264e-12
0.020014,800.0,5.3954e-11,3.6159e-11,-3.6159e-11
0.023349,800.0,6.7104e-10,3.8305e-10,-3.8305e-10
0.026685,800.0,4.6564e-09,2.3742e-09,-2.3742e-09
0.030021,800.0,2.1542e-08,1.0154e-08,-1.0154e-08
0.033356,800.0,7.4336e-08,3.2987e-08,-3.2987e-08
0.066713,800.0,2.1442e-05,6.2744e-06,-6.2744e-06
0.10007,800.0,0.00015194,3.1713e-05,-3.1713e-05
0.13343,800.0,0.00043334,6.8687e-05,-6.8687e-05
0.16678,800.0,0.00084494,0.00011061,-0.00011061
0.20014,800.0,0.0013407,0.00015593,-0.00015593
0.23349,800.0,0.0018752,0.00020351,-0.00020351
0.26685,800.0,0.0024139,0.00025218,-0.00025218
0.30021,800.0,0.0029337,0.00030121,-0.00030121
0.33356,800.0,0.0096886,0.0096886,-0.0096886
0.66713,800.0,0.0067091,0.00079969,-0.00079969
1.0007,800.0,0.0075142,0.00078253,-0.00078253
1.3343,800.0,0.0074868,0.0007115,-0.0007115
1.6678,800.0,0.0071978,0.0006427,-0.0006427
2.0014,800.0,0.0068323,0.00058468,-0.00058468
2.3349,800.0,0.0064559,0.00053689,-0.00053689
2.6685,800.0,0.006095,0.00049741,-0.00049741
3.0021,800.0,0.0057625,0.00046464,-0.00046464
3.3356,800.0,0.015487,0.015487,-0.015487
6.6713,800.0,0.0025544,0.00065907,-0.00065907
10.007,800.0,0.0021668,0.0005147,-0.0005147
