## HSCPM5 efficiencies
## x	y	z	 effi
1005.0	800.0	200.0	0.192
1005.0	800.0	280.0	0.441
1005.0	800.0	300.0	0.495
1005.0	800.0	320.0	0.539
1005.0	800.0	340.0	0.575
1005.0	800.0	360.0	0.61
1005.0	800.0	380.0	0.637
1005.0	800.0	400.0	0.655
1005.0	800.0	430.0	0.682
1005.0	800.0	480.0	0.703
1005.0	800.0	640.0	0.669
1005.0	850.0	170.0	0.0776
1005.0	850.0	200.0	0.155
1005.0	900.0	170.0	0.0574
1005.0	900.0	200.0	0.127
1005.0	950.0	170.0	0.0445
1005.0	950.0	200.0	0.0984
1005.0	1000.0	170.0	0.0349
1005.0	1000.0	200.0	0.0806
1005.0	1000.0	990.0	0.514
1205.0	250.0	170.0	0.093
1205.0	250.0	200.0	0.0919
1205.0	250.0	240.0	0.0982
1205.0	300.0	170.0	0.171
1205.0	300.0	200.0	0.186
1205.0	300.0	240.0	0.197
1205.0	300.0	280.0	0.21
1205.0	350.0	170.0	0.227
1205.0	350.0	200.0	0.27
1205.0	350.0	240.0	0.296
1205.0	350.0	280.0	0.317
1205.0	350.0	300.0	0.326
1205.0	350.0	320.0	0.34
1205.0	350.0	340.0	0.339
1205.0	400.0	170.0	0.252
1205.0	400.0	200.0	0.315
1205.0	400.0	240.0	0.366
1205.0	400.0	280.0	0.406
1205.0	400.0	300.0	0.423
1205.0	400.0	320.0	0.424
1205.0	400.0	340.0	0.438
1205.0	400.0	360.0	0.45
1205.0	400.0	380.0	0.451
1205.0	450.0	170.0	0.26
1205.0	450.0	200.0	0.332
1205.0	450.0	240.0	0.404
1205.0	450.0	280.0	0.463
1205.0	450.0	300.0	0.482
1205.0	450.0	320.0	0.499
1205.0	450.0	340.0	0.506
1205.0	450.0	360.0	0.519
1205.0	450.0	380.0	0.529
1205.0	450.0	400.0	0.543
1205.0	450.0	430.0	0.551
1205.0	500.0	170.0	0.25
1205.0	500.0	200.0	0.339
1205.0	500.0	240.0	0.425
1205.0	500.0	280.0	0.488
1205.0	500.0	300.0	0.519
1205.0	500.0	320.0	0.536
1205.0	500.0	340.0	0.556
1205.0	500.0	360.0	0.574
1205.0	500.0	380.0	0.58
1205.0	500.0	400.0	0.587
1205.0	500.0	430.0	0.605
1205.0	500.0	480.0	0.61
1205.0	550.0	170.0	0.24
1205.0	550.0	200.0	0.328
1205.0	550.0	240.0	0.425
1205.0	550.0	280.0	0.501
1205.0	550.0	300.0	0.536
1205.0	550.0	320.0	0.56
1205.0	550.0	340.0	0.58
1205.0	550.0	360.0	0.603
1205.0	550.0	380.0	0.617
1205.0	550.0	400.0	0.626
1205.0	550.0	430.0	0.639
1205.0	550.0	480.0	0.65
1205.0	600.0	200.0	0.315
1205.0	600.0	240.0	0.416
1205.0	600.0	280.0	0.499
1205.0	600.0	300.0	0.541
1205.0	600.0	320.0	0.568
1205.0	600.0	340.0	0.592
1205.0	600.0	360.0	0.616
1205.0	600.0	380.0	0.632
1205.0	600.0	400.0	0.649
1205.0	600.0	430.0	0.663
1205.0	600.0	480.0	0.677
1205.0	650.0	340.0	0.593
1205.0	650.0	360.0	0.621
